Station,SampleID,Shore,Samplenum,Date,Date_year,Month,Days,Fraction,pH,SpCond,StationDepth,Secchi,Temp,Turbidity,LogPhyco,LogChla,LogParMC,ParMC,DissMC,Phycocyanin,Chla,DOC,SRP,TP,TDP,POC,PON,PP,N.P,Nitrate,Ammonia,H2O2,CDOM
nearshore2,E0058_CNA,nearshore,E0058,8/18,8/18/14,August,83,CNA,9.032,270,4.7,0.6,21.9,22.5,4.578334949,5.299757512,2.23572706,4.71,NA,23.89,39.39,3.97825,1.27,72.1,7.1,3.96,0.54,65.03,8.35,1,3.25,203.664182,4.355235194
nearshore1,E0060_CNA,nearshore,E0060,8/18,8/18/14,August,83,CNA,9.033,265.1,6,0.5,22,31.6,3.9800253,5.059614856,1.761285273,3.39,NA,15.78,33.35,2.915,2.44,82.7,7.2,3.76,0.58,75.56,7.71,3,2.01,214.2496831,5.198318475
offshore,E0062_CNA,offshore,E0062,8/18,8/18/14,August,83,CNA,8.55,225.6,8,2.1,21.6,1.49,0.111031312,2.550900665,-2.251538767,0.21,NA,1.08,5.86,3.293,NA,12,1.3,0.55,0.1,10.65,8.97,179,1.77,215.008592,1.409281752
nearshore2,E0064_CNA,nearshore,E0064,8/25,8/25/14,August,90,CNA,9.02,279,4.8,0.6,24.1,22.4,4.233427944,4.760220946,1.432959407,2.7,NA,18.81,27.1,4.17975,15.75,90.3,21.2,2.82,0.44,69.1,6.34,8,3.38,279.7923708,6.0389386
nearshore1,E0066_CNA,nearshore,E0066,8/25,8/25/14,August,90,CNA,9.294,279.3,6,0.3,25,31.6,5.514753498,5.258518925,1.632268215,3.1,NA,45.72,38.28,4.272,3.68,98.1,10.3,4.03,0.59,87.88,6.68,28,2.58,392.5883741,7.175372871
offshore,E0068_CNA,offshore,E0068,8/25,8/25/14,August,90,CNA,8.509,238.4,7.9,3,23.9,1.01,0.454175893,1.831877241,-3.321928095,0.1,NA,1.37,3.56,2.1968,0.2,11.6,0.6,0.39,0.06,10.95,5.65,199,18.23,304.2043115,1.397384533
nearshore2,E0076_CNA,nearshore,E0076,9/2,9/2/14,September,98,CNA,8.845,,4.2,0.4,NA,19.3,2.82984956,5.199279721,-0.736965594,0.6,0,7.11,36.74,4.0195,4.38,71.5,8.5,2.33,0.36,62.95,5.79,32,4.92,281.547499,5.03527737
nearshore1,E0078_CNA,nearshore,E0078,9/2,9/2/14,September,98,CNA,8.901,,5.8,0.6,NA,11.1,2.64385619,4.56193706,-1.736965594,0.3,0,6.25,23.62,3.19425,1.81,47.5,5.6,1.76,0.27,41.9,6.48,48,1.63,279.0339353,4.011427746
offshore,E0080_CNA,offshore,E0080,9/2,9/2/14,September,98,CNA,8.631,,7.8,1,NA,6.72,2.912649865,4.828834649,-2.321928095,0.2,0,7.53,28.42,2.5675,0.9,30.6,2.7,1.55,0.26,27.93,9.25,73,5.28,311.1521277,2.117372553
nearshore2,E0082_CNA,nearshore,E0082,9/8,9/8/14,September,104,CNA,8.86,,4.8,0.8,NA,9.23,1.695993813,4.376429311,-0.736965594,0.6,0.48,3.24,20.77,3.5595,4.08,42.7,8.3,1.57,0.21,34.33,6.13,53,1.15,220.6112009,4.290379809
nearshore1,E0084_CNA,nearshore,E0084,9/8,9/8/14,September,104,CNA,8.77,,6,0.7,NA,9.46,2.150559677,4.5360529,-1.321928095,0.4,0.31,4.44,23.2,3.238,1.87,47.3,6.4,1.58,0.2,40.86,4.98,70,1.1,283.6230938,3.089423174
offshore,E0086_CNA,offshore,E0086,9/8,9/8/14,September,104,CNA,8.864,,7.8,1.4,NA,6.55,3.982765463,4.713695815,-0.321928095,0.8,0.25,15.81,26.24,3.2225,0.27,30.6,3.5,1.57,0.28,27.08,10.27,63,1.54,246.0188035,2.388856126
nearshore2,E0088_CNA,nearshore,E0088,9/15,9/15/14,September,111,CNA,8.288,270.9,5.2,0.7,19.3,10.2,3.185866545,3.778208576,-0.514573173,0.7,0.87,9.1,13.72,3.94325,20.21,57.5,22.9,31.68,5.91,34.52,NA,143,10.97,215.4381433,4.550799562
nearshore1,E0090_CNA,nearshore,E0090,9/15,9/15/14,September,111,CNA,8.505,293.1,5.8,0.4,18.4,15,2.257010618,4.20867332,0.378511623,1.3,1.04,4.78,18.49,4.361,12.1,66,15.9,1.15,0.21,50.05,4.17,141,0.1,180.3205479,5.358085963
offshore,E0092_CNA,offshore,E0092,9/15,9/15/14,September,111,CNA,8.137,231.8,8,3,19.6,2.22,-0.13606155,1.97819563,-3.321928095,0.1,0.1,0.91,3.94,2.52875,2.85,35.1,5.6,0.9,0.14,29.46,4.62,192,11.83,213.1191761,1.463827674
nearshore2,E0100_CNA,nearshore,E0100,9/23,9/23/14,September,119,CNA,8.221,278.9,4.9,NA,18.4,9.42,4.94673086,3.659924558,0.432959407,1.35,1.4,30.84,12.64,3.67775,21.22,65.3,21.1,1.33,0.25,44.24,5.67,152,12.85,213.3807517,4.779656761
nearshore1,E0102_CNA,nearshore,E0102,9/23,9/23/14,September,119,CNA,8.332,271.5,5.8,NA,17.9,11,4.133399125,4.08491466,-0.152003093,0.9,0.9,17.55,16.97,3.3648,17.39,60.3,17.7,1.77,0.32,42.62,7.42,150,3.14,270.7901863,4.072445445
offshore,E0104_CNA,offshore,E0104,9/23,9/23/14,September,119,CNA,8.264,224.8,7.8,NA,17.9,1.87,-1.029146346,1.389566812,-1.736965594,0.3,0.1,0.49,2.62,2.37,0.1,9.9,1.5,0.33,0.06,8.49,6.6,176,0.59,270.6391546,1.438435991
nearshore2,E0106_CNA,nearshore,E0106,9/29,9/29/14,September,125,CNA,8.835,317.4,4,0.6,19.4,22.1,7.682994584,6.058099988,2.070389328,4.2,0.6,205.5,66.63,3.044,2.25,132.7,8.3,5.84,1.07,124.46,8.59,147.5,0.1,296.5561875,6.659957275
nearshore1,E0108_CNA,nearshore,E0108,9/29,9/29/14,September,125,CNA,8.738,278.1,5.9,0.8,19.5,31.9,4.450881315,4.475733431,-0.736965594,0.6,0.5,21.87,22.25,3.475,7.98,69.2,9.1,3.03,0.48,60.11,8.01,140,0.44,320.7728026,3.991414089
offshore,E0110_CNA,offshore,E0110,9/29,9/29/13,September,125,CNA,8.578,269,7.9,2.1,19.9,4.34,1.867896464,3.203201156,-2.321928095,0.2,0,3.65,9.21,2.72,0.1,17.7,3.1,0.82,0.14,14.64,9.43,188,0.33,290.0495,2.305297754
nearshore2,E0112_CNA,nearshore,E0112,10/6,10/6/14,October,132,CNA,8.042,276.6,4.7,0.9,15.3,9.88,2.641546029,3.010779839,NA,0,0.3,6.24,8.06,3.1168,12.65,53,11.1,1.56,0.21,41.97,4.89,149,11.18,163.163617,3.050864158
nearshore1,E0114_CNA,nearshore,E0114,10/6,10/6/14,October,132,CNA,7.977,278.2,5.9,0.6,15.5,11.5,-1,1.989139007,NA,0,0.2,0.5,3.97,3.04825,12.57,39.4,9.3,0.71,0.12,30.12,4.02,169.5,36.39,183.076992,3.318569845
offshore,E0116_CNA,offshore,E0116,10/6,10/6/14,October,132,CNA,7.987,229.5,7.9,1.5,15.4,4.87,-1.473931188,0.23878686,-3.321928095,0.1,0,0.36,1.18,2.1325,6.84,20.7,4.8,0.4,0.06,15.95,3.65,191.5,23.01,182.2009117,1.343799997
nearshore2,E0118_CNA,nearshore,E0118,10/15,10/15/14,October,141,CNA,8.116,291,5,0.7,14.2,10.3,-0.089267338,2.776103988,-1.152003093,0.45,0.3,0.94,6.85,3.994,10.19,48.8,17.2,1.1,0.14,31.53,4.53,153.5,9.31,154.2188826,4.021027382
nearshore1,E0120_CNA,nearshore,E0120,10/15,10/15/14,October,141,CNA,8.022,258.9,5.7,0.7,14.6,11.1,-1.358453971,2.039138394,-1.736965594,0.3,0.1,0.39,4.11,2.911833333,11.27,25.6,18.2,0.9,0.14,7.34,18.55,150.5,6.54,214.3144507,2.534959728
offshore,E0122_CNA,offshore,E0122,10/15,10/15/14,October,141,CNA,8.093,284.5,8,1.5,14.6,5.16,1.438292852,2.053111336,-0.888968688,0.54,0.2,2.71,4.15,4.252,13.02,40.1,21,0.6,0.1,19.05,5.37,163,24.25,211.6492848,3.593239116
nearshore2,E0124_CNA,nearshore,E0124,10/20,10/20/14,October,146,CNA,8.042,297.6,4.8,1,12.5,6.58,1.084064265,2.853995647,NA,0,0.46,2.12,7.23,3.66625,9.16,44.3,16,0.77,0.13,28.34,4.48,161.5,6.57,156.6879621,4.339495115
nearshore1,E0126_CNA,nearshore,E0126,10/20,10/20/14,October,146,CNA,7.983,276.4,5.6,0.7,13,9.13,-0.888968688,2.321928095,NA,0,0.38,0.54,5,3.20475,13.27,45.2,20.7,0.5,0.11,24.49,4.46,156.5,5.18,178.0787383,3.248366563
offshore,E0128_CNA,offshore,E0128,10/20,10/20/14,October,146,CNA,7.979,230.3,7.7,1.7,13.1,2.83,-2.120294234,0.475084883,NA,0,0.15,0.23,1.39,1.9765,0.29,11.9,2.6,0.23,0.04,9.33,4.47,197,7.66,188.689771,1.353113304
nearshore2,E0130_CNA,nearshore,E0130,10/27,10/27/14,October,153,CNA,NA,295.5,5,1.7,12.1,5.99,-3.058893689,1.704871964,NA,0,0.28,0.12,3.26,3.2435,8.52,38.9,18.6,0.49,0.06,20.37,3.14,162.5,3.72,131.0076975,3.962923643
nearshore1,E0132_CNA,nearshore,E0132,10/27,10/27/14,October,153,CNA,NA,281.9,6,0.9,12.2,6.17,-2.556393349,2.295723025,NA,0,0.19,0.17,4.91,3.0794,6.56,31.3,15.3,0.5,0.07,16,4.45,161.5,0.1,231.1136556,3.061299909
offshore,E0134_CNA,offshore,E0134,10/27,10/27/14,October,153,CNA,NA,253.2,8.1,3.5,12.2,0.76,NA,0.189033824,NA,0,0,0,1.14,2.16,3.05,11.9,7.7,0.14,0.01,4.14,3.58,199,58.2,272.035205,1.534045825
