SampleID,Date,Station,Shore,Fraction,Type,Samplenum,Date_year,Month,Days,pH,SpCond,StationDepth,Secchi,Temp,Turbidity,ParMC,DissMC,Phycocyanin,Chla,DOC,SRP,TP,TDP,POC,PON,PP,N.P,Nitrate,Ammonia,H2O2,CDOM
E0034_CNA,7/21,nearshore2,nearshore,CNA,sample,E0034,7/21/14,July,55,8.375,296.8,4.8,2,23.5,7.21,4.94,NA,5.13,16.26,3.41125,0.04,32.2,4.5,2.32,0.3,27.74,10.87,518,2.93,429.7049332,3.921255064
E0036_CNA,7/21,nearshore1,nearshore,CNA,sample,E0036,7/21/14,July,55,8.794,312.2,6,1.2,23.9,5.58,6.14,NA,5.59,18.62,3.75225,0.1,32.1,4.5,1.8,0.29,27.63,10.49,1021,1.82,463.5637402,6.561996833
E0038_CNA,7/21,offshore,offshore,CNA,sample,E0038,7/21/14,July,55,8.445,255.9,6.3,NA,24.1,1.57,1.82,NA,6.14,5.95,2.37875,0.14,14.3,1.7,0.89,0.13,12.58,10.3,318,1.69,317.7296414,2.69844051
E0040_CNA,7/29,nearshore2,nearshore,CNA,sample,E0040,7/29/14,July,63,8.499,285.5,4.8,2,22.2,3.52,3.98,NA,8.81,10.02,3.396,2.5,23.6,6,0.78,0.11,17.57,6.54,439,6.48,1383.37604,3.413934814
E0042_CNA,7/29,nearshore1,nearshore,CNA,sample,E0042,7/29/14,July,63,8.585,314.6,5.9,0.6,22.2,15.5,6.93,NA,27.74,33.15,3.6775,3.46,67.5,7.9,2.86,0.52,59.57,8.74,1026,0.1,883.4676478,6.46522329
E0044_CNA,7/29,offshore,offshore,CNA,sample,E0044,7/29/14,July,63,8.526,255.3,8.1,NA,22.6,2.45,1.01,NA,4.77,6.12,2.44225,1.01,16.5,3.1,0.61,0.09,13.39,6.97,308,9.39,717.1590595,2.264666841
E0046_CNA,8/4,nearshore2,nearshore,CNA,sample,E0046,8/4/14,August,69,9.195,291.2,4.9,1,23.1,8.99,4.33,NA,39.01,29.44,3.898,1.45,32,4.8,2.1,0.32,27.16,11.94,556,3.03,303.8264776,6.438243172
E0048_CNA,8/4,nearshore1,nearshore,CNA,sample,E0048,8/4/14,August,69,9.29,291.8,6,0.6,24.6,17.7,9.28,NA,45.43,54.46,3.94625,0.1,44.4,5.3,4.65,0.68,39.03,17.35,617.5,3.25,331.0631026,6.322072879
E0050_CNA,8/4,offshore,offshore,CNA,sample,E0050,8/4/14,August,69,9.128,259.9,8,1.6,24.6,3.56,1.54,NA,15.38,18.11,3.28225,0.55,22.1,3.2,1.75,0.24,18.92,12.76,139,1.64,295.2206983,2.950603364
E0052_CNA,8/11,nearshore2,nearshore,CNA,sample,E0052,8/11/14,August,76,9.168,275.1,5.1,0.2,23.8,41.9,29.3,NA,268.78,71.96,3.898,0.69,121.1,6.9,6.79,1.21,114.19,10.57,146,7.07,292.8814101,8.47081306
E0054_CNA,8/11,nearshore1,nearshore,CNA,sample,E0054,8/11/14,August,76,8.613,269.6,6.1,0.6,23.8,11,2.9,NA,16.97,11.58,3.94625,1.53,43.6,5.6,1.34,0.25,37.93,6.48,145,8.12,295.5588752,3.204245188
E0056_CNA,8/11,offshore,offshore,CNA,sample,E0056,8/11/14,August,76,9.019,265.7,8.1,0.8,23.5,12,11.4,NA,52.11,30.23,3.28225,0.98,45.7,5.7,2.64,0.45,40.03,11.32,39,7.14,263.5888692,4.550644842
E0058_CNA,8/18,nearshore2,nearshore,CNA,sample,E0058,8/18/14,August,83,9.032,270,4.7,0.6,21.9,22.5,4.71,NA,23.89,39.39,3.97825,1.27,72.1,7.1,3.96,0.54,65.03,8.35,1,3.25,203.664182,4.355235194
E0060_CNA,8/18,nearshore1,nearshore,CNA,sample,E0060,8/18/14,August,83,9.033,265.1,6,0.5,22,31.6,3.39,NA,15.78,33.35,2.915,2.44,82.7,7.2,3.76,0.58,75.56,7.71,3,2.01,214.2496831,5.198318475
E0062_CNA,8/18,offshore,offshore,CNA,sample,E0062,8/18/14,August,83,8.55,225.6,8,2.1,21.6,1.49,0.21,NA,1.08,5.86,3.293,0.98,12,1.3,0.55,0.1,10.65,8.97,179,1.77,215.008592,1.409281752
E0064_CNA,8/25,nearshore2,nearshore,CNA,sample,E0064,8/25/14,August,90,9.02,279,4.8,0.6,24.1,22.4,2.7,NA,18.81,27.1,4.17975,15.75,90.3,21.2,2.82,0.44,69.1,6.34,8,3.38,279.7923708,6.0389386
E0066_CNA,8/25,nearshore1,nearshore,CNA,sample,E0066,8/25/14,August,90,9.294,279.3,6,0.3,25,31.6,3.1,NA,45.72,38.28,4.272,3.68,98.1,10.3,4.03,0.59,87.88,6.68,28,2.58,392.5883741,7.175372871
E0068_CNA,8/25,offshore,offshore,CNA,sample,E0068,8/25/14,August,90,8.509,238.4,7.9,3,23.9,1.01,0.1,NA,1.37,3.56,2.1968,0.2,11.6,0.6,0.39,0.06,10.95,5.65,199,18.23,304.2043115,1.397384533
E0076_CNA,9/2,nearshore2,nearshore,CNA,sample,E0076,9/2/14,September,98,8.845,263.3,4.2,0.4,21.68356281,19.3,0.6,0,7.11,36.74,4.0195,4.38,71.5,8.5,2.33,0.36,62.95,5.79,32,4.92,281.547499,5.03527737
E0078_CNA,9/2,nearshore1,nearshore,CNA,sample,E0078,9/2/14,September,98,8.901,NA,5.8,0.6,21.65977888,11.1,0.3,0,6.25,23.62,3.19425,1.81,47.5,5.6,1.76,0.27,41.9,6.48,48,1.63,279.0339353,4.011427746
E0080_CNA,9/2,offshore,offshore,CNA,sample,E0080,9/2/14,September,98,8.631,246.15,7.8,1,21.72450839,6.72,0.2,0,7.53,28.42,2.5675,0.9,30.6,2.7,1.55,0.26,27.93,9.25,73,5.28,311.1521277,2.117372553
E0082_CNA,9/8,nearshore2,nearshore,CNA,sample,E0082,9/8/14,September,104,8.86,259.075,4.8,0.8,21.01709367,9.23,0.6,0.48,3.24,20.77,3.5595,4.08,42.7,8.3,1.57,0.21,34.33,6.13,53,1.15,220.6112009,4.290379809
E0084_CNA,9/8,nearshore1,nearshore,CNA,sample,E0084,9/8/14,September,104,8.77,NA,6,0.7,20.93468032,9.46,0.4,0.31,4.44,23.2,3.238,1.87,47.3,6.4,1.58,0.2,40.86,4.98,70,1.1,283.6230938,3.089423174
E0086_CNA,9/8,offshore,offshore,CNA,sample,E0086,9/8/14,September,104,8.864,247.85,7.8,1.4,21.01963966,6.55,0.8,0.25,15.81,26.24,3.2225,0.27,30.6,3.5,1.57,0.28,27.08,10.27,63,1.54,246.0188035,2.388856126
E0088_CNA,9/15,nearshore2,nearshore,CNA,sample,E0088,9/15/14,September,111,8.288,270.9,5.2,0.7,19.3,10.2,0.7,0.87,9.1,13.72,3.94325,20.21,57.5,22.9,31.68,5.91,34.52,NA,143,10.97,215.4381433,4.550799562
E0090_CNA,9/15,nearshore1,nearshore,CNA,sample,E0090,9/15/14,September,111,8.505,293.1,5.8,0.4,18.4,15,1.3,1.04,4.78,18.49,4.361,12.1,66,15.9,1.15,0.21,50.05,4.17,141,0.1,180.3205479,5.358085963
E0092_CNA,9/15,offshore,offshore,CNA,sample,E0092,9/15/14,September,111,8.137,231.8,8,3,19.6,2.22,0.1,0.1,0.91,3.94,2.52875,2.85,35.1,5.6,0.9,0.14,29.46,4.62,192,11.83,213.1191761,1.463827674
E0100_CNA,9/23,nearshore2,nearshore,CNA,sample,E0100,9/23/14,September,119,8.221,278.9,4.9,NA,18.4,9.42,1.35,1.4,30.84,12.64,3.67775,21.22,65.3,21.1,1.33,0.25,44.24,5.67,152,12.85,213.3807517,4.779656761
E0102_CNA,9/23,nearshore1,nearshore,CNA,sample,E0102,9/23/14,September,119,8.332,271.5,5.8,NA,17.9,11,0.9,0.9,17.55,16.97,3.3648,17.39,60.3,17.7,1.77,0.32,42.62,7.42,150,3.14,270.7901863,4.072445445
E0104_CNA,9/23,offshore,offshore,CNA,sample,E0104,9/23/14,September,119,8.264,224.8,7.8,NA,17.9,1.87,0.3,0.1,0.49,2.62,2.37,0.1,9.9,1.5,0.33,0.06,8.49,6.6,176,0.59,270.6391546,1.438435991
E0106_CNA,9/29,nearshore2,nearshore,CNA,sample,E0106,9/29/14,September,125,8.835,317.4,4,0.6,19.4,22.1,4.2,0.6,205.5,66.63,3.044,2.25,132.7,8.3,5.84,1.07,124.46,8.59,147.5,0.1,296.5561875,6.659957275
E0108_CNA,9/29,nearshore1,nearshore,CNA,sample,E0108,9/29/14,September,125,8.738,278.1,5.9,0.8,19.5,31.9,0.6,0.5,21.87,22.25,3.475,7.98,69.2,9.1,3.03,0.48,60.11,8.01,140,0.44,320.7728026,3.991414089
E0112_CNA,10/6,nearshore2,nearshore,CNA,sample,E0112,10/6/14,October,132,8.042,276.6,4.7,0.9,15.3,9.88,0,0.3,6.24,8.06,3.1168,12.65,53,11.1,1.56,0.21,41.97,4.89,149,11.18,163.163617,3.050864158
E0114_CNA,10/6,nearshore1,nearshore,CNA,sample,E0114,10/6/14,October,132,7.977,278.2,5.9,0.6,15.5,11.5,0,0.2,0.5,3.97,3.04825,12.57,39.4,9.3,0.71,0.12,30.12,4.02,169.5,36.39,183.076992,3.318569845
E0116_CNA,10/6,offshore,offshore,CNA,sample,E0116,10/6/14,October,132,7.987,229.5,7.9,1.5,15.4,4.87,0.1,0,0.36,1.18,2.1325,6.84,20.7,4.8,0.4,0.06,15.95,3.65,191.5,23.01,182.2009117,1.343799997
E0118_CNA,10/15,nearshore2,nearshore,CNA,sample,E0118,10/15/14,October,141,8.116,291,5,0.7,14.2,10.3,0.45,0.3,0.94,6.85,3.994,10.19,48.8,17.2,1.1,0.14,31.53,4.53,153.5,9.31,154.2188826,4.021027382
E0120_CNA,10/15,nearshore1,nearshore,CNA,sample,E0120,10/15/14,October,141,8.022,258.9,5.7,0.7,14.6,11.1,0.3,0.1,0.39,4.11,2.911833333,11.27,25.6,18.2,0.9,0.14,7.34,18.55,150.5,6.54,214.3144507,2.534959728
E0122_CNA,10/15,offshore,offshore,CNA,sample,E0122,10/15/14,October,141,8.093,284.5,8,1.5,14.6,5.16,0.54,0.2,2.71,4.15,4.252,13.02,40.1,21,0.6,0.1,19.05,5.37,163,24.25,211.6492848,3.593239116
E0124_CNA,10/20,nearshore2,nearshore,CNA,sample,E0124,10/20/14,October,146,8.042,297.6,4.8,1,12.5,6.58,0,0.46,2.12,7.23,3.66625,9.16,44.3,16,0.77,0.13,28.34,4.48,161.5,6.57,156.6879621,4.339495115
E0126_CNA,10/20,nearshore1,nearshore,CNA,sample,E0126,10/20/14,October,146,7.983,276.4,5.6,0.7,13,9.13,0,0.38,0.54,5,3.20475,13.27,45.2,20.7,0.5,0.11,24.49,4.46,156.5,5.18,178.0787383,3.248366563
E0128_CNA,10/20,offshore,offshore,CNA,sample,E0128,10/20/14,October,146,7.979,230.3,7.7,1.7,13.1,2.83,0,0.15,0.23,1.39,1.9765,0.29,11.9,2.6,0.23,0.04,9.33,4.47,197,7.66,188.689771,1.353113304
E0130_CNA,10/27,nearshore2,nearshore,CNA,sample,E0130,10/27/14,October,153,NA,295.5,5,1.7,12.1,5.99,0,0.28,0.12,3.26,3.2435,8.52,38.9,18.6,0.49,0.06,20.37,3.14,162.5,3.72,131.0076975,3.962923643
E0132_CNA,10/27,nearshore1,nearshore,CNA,sample,E0132,10/27/14,October,153,NA,281.9,6,0.9,12.2,6.17,0,0.19,0.17,4.91,3.0794,6.56,31.3,15.3,0.5,0.07,16,4.45,161.5,0.1,231.1136556,3.061299909
E0134_CNA,10/27,offshore,offshore,CNA,sample,E0134,10/27/14,October,153,NA,253.2,8.1,3.5,12.2,0.76,0,0,0,1.14,2.16,3.05,11.9,7.7,0.14,0.01,4.14,3.58,199,58.2,272.035205,1.534045825
